"output_id","image_filename","status","source_path","destination_path"
"10","2685250da7655a92771bf7c8448778ea58a93b2fb1ecc81eec8ceb850890d4e2.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\2685250da7655a92771bf7c8448778ea58a93b2fb1ecc81eec8ceb850890d4e2.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\2685250da7655a92771bf7c8448778ea58a93b2fb1ecc81eec8ceb850890d4e2.jpg"
"10","376ed99c642fe21531e2d3c058fe1ad3bc93da8fbfbbdd33761b4cdb1507e8ed.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\376ed99c642fe21531e2d3c058fe1ad3bc93da8fbfbbdd33761b4cdb1507e8ed.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\376ed99c642fe21531e2d3c058fe1ad3bc93da8fbfbbdd33761b4cdb1507e8ed.jpg"
"10","38caa87bac680819b602e4d770381cc032c8948187a777e99dea835dd82db0b6.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\38caa87bac680819b602e4d770381cc032c8948187a777e99dea835dd82db0b6.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\38caa87bac680819b602e4d770381cc032c8948187a777e99dea835dd82db0b6.jpg"
"10","39126477c4823e1bc1b1f138c6d4fa4a70de0af0f8be804bbcf7be606f32fb9b.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\39126477c4823e1bc1b1f138c6d4fa4a70de0af0f8be804bbcf7be606f32fb9b.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\39126477c4823e1bc1b1f138c6d4fa4a70de0af0f8be804bbcf7be606f32fb9b.jpg"
"10","413fb8e2ee5eeacb7630c5b33e330e4df1c2337112b15a9cb25c69550f18ef23.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\413fb8e2ee5eeacb7630c5b33e330e4df1c2337112b15a9cb25c69550f18ef23.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\413fb8e2ee5eeacb7630c5b33e330e4df1c2337112b15a9cb25c69550f18ef23.jpg"
"10","49439b72586b72e798010497fc68d39fb674b96d9a33fa1f960b79e115c3193f.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\49439b72586b72e798010497fc68d39fb674b96d9a33fa1f960b79e115c3193f.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\49439b72586b72e798010497fc68d39fb674b96d9a33fa1f960b79e115c3193f.jpg"
"10","50c61a3823694f9808b413e5e0ce76ff72574986d2b68847e1434da248ed5d1c.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\50c61a3823694f9808b413e5e0ce76ff72574986d2b68847e1434da248ed5d1c.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\50c61a3823694f9808b413e5e0ce76ff72574986d2b68847e1434da248ed5d1c.jpg"
"10","532af5e0a6ae94c490108b09fa93dcd8ac1519d2b2ba05773f7a5df4846411e7.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\532af5e0a6ae94c490108b09fa93dcd8ac1519d2b2ba05773f7a5df4846411e7.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\532af5e0a6ae94c490108b09fa93dcd8ac1519d2b2ba05773f7a5df4846411e7.jpg"
"10","59c6d63f23b2e11bcdb5257304a6eae93874846a35de15b4ffdf3c7213f595c9.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\59c6d63f23b2e11bcdb5257304a6eae93874846a35de15b4ffdf3c7213f595c9.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\59c6d63f23b2e11bcdb5257304a6eae93874846a35de15b4ffdf3c7213f595c9.jpg"
"10","5a6b5f045ab3acf19fe01b9a9e603de9f15c91d98c816946828f054b87401e88.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\5a6b5f045ab3acf19fe01b9a9e603de9f15c91d98c816946828f054b87401e88.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\5a6b5f045ab3acf19fe01b9a9e603de9f15c91d98c816946828f054b87401e88.jpg"
"10","65271c015044796f9dc2a4cac28c57e22102695879e42f1c2ebfe4f46dcd8f5f.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\65271c015044796f9dc2a4cac28c57e22102695879e42f1c2ebfe4f46dcd8f5f.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\65271c015044796f9dc2a4cac28c57e22102695879e42f1c2ebfe4f46dcd8f5f.jpg"
"10","6a214d44b28618cfd253dd3c127ac4b08decc8baac47d9819ed0c415eb5c7466.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\6a214d44b28618cfd253dd3c127ac4b08decc8baac47d9819ed0c415eb5c7466.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\6a214d44b28618cfd253dd3c127ac4b08decc8baac47d9819ed0c415eb5c7466.jpg"
"10","70562a327e0a2e6f2f6bef2d1e4e5ff7fda1b3ef50099f8e72d47ad1385aaecb.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\70562a327e0a2e6f2f6bef2d1e4e5ff7fda1b3ef50099f8e72d47ad1385aaecb.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\70562a327e0a2e6f2f6bef2d1e4e5ff7fda1b3ef50099f8e72d47ad1385aaecb.jpg"
"10","8798678a830596cece38a5f37410a4656994397974dd6a2bc38b27fd424f4855.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\8798678a830596cece38a5f37410a4656994397974dd6a2bc38b27fd424f4855.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\8798678a830596cece38a5f37410a4656994397974dd6a2bc38b27fd424f4855.jpg"
"10","8c8be028869e56d97c0d706b8adc3be05db4d5ec52e84494fac66776941396bf.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\8c8be028869e56d97c0d706b8adc3be05db4d5ec52e84494fac66776941396bf.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\8c8be028869e56d97c0d706b8adc3be05db4d5ec52e84494fac66776941396bf.jpg"
"10","94f3d652d33b3db4a2e745beac3994346a284c72e86989ee2b358885043fc0b8.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\94f3d652d33b3db4a2e745beac3994346a284c72e86989ee2b358885043fc0b8.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\94f3d652d33b3db4a2e745beac3994346a284c72e86989ee2b358885043fc0b8.jpg"
"10","9590af80e8841909f25fc00e97f65c9c83f6c2a7d85a3cb096fca3a4e7387781.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\9590af80e8841909f25fc00e97f65c9c83f6c2a7d85a3cb096fca3a4e7387781.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\9590af80e8841909f25fc00e97f65c9c83f6c2a7d85a3cb096fca3a4e7387781.jpg"
"10","a50e4363b4aab311a0a31772b219d33182eba642bfb06bcc72c9b2f8d628eb92.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\a50e4363b4aab311a0a31772b219d33182eba642bfb06bcc72c9b2f8d628eb92.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\a50e4363b4aab311a0a31772b219d33182eba642bfb06bcc72c9b2f8d628eb92.jpg"
"10","ab9ac35fcd06bf66518a4928d9e4cd0df192d5566c558216173428f7e5db0787.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\ab9ac35fcd06bf66518a4928d9e4cd0df192d5566c558216173428f7e5db0787.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\ab9ac35fcd06bf66518a4928d9e4cd0df192d5566c558216173428f7e5db0787.jpg"
"10","ae07e46b6af078cab9a8213bbd8a4a78affe4f37fcf3d1ccf39bc4306e88783d.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\ae07e46b6af078cab9a8213bbd8a4a78affe4f37fcf3d1ccf39bc4306e88783d.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\ae07e46b6af078cab9a8213bbd8a4a78affe4f37fcf3d1ccf39bc4306e88783d.jpg"
